Post Date,Caption,Likes,Comments,Saves,Engagement %
2023-06-15,Morning coffee â˜•,504,150,72,143.76
2023-08-13,Workout complete ğŸ’ª,1443,62,183,116.9
2025-06-02,Hiking trails â›°ï¸,1012,226,18,123.99
2025-02-21,Exploring the city!,1067,121,69,117.7
2023-10-19,Chasing waterfalls,517,297,60,168.73
2023-11-05,Hiking trails â›°ï¸,3736,122,124,106.56
2025-01-28,Bookworm mode ğŸ“š,2578,13,50,102.4
2025-01-12,Behind the scenes,3087,152,49,106.48
2022-11-25,New blog post up!,3057,62,33,103.07
2023-10-09,Self-care Sunday,1092,193,98,126.53
2022-11-11,Desk setup goals,2466,32,196,109.2
2023-05-03,Street style inspo,4692,73,106,103.79
2023-11-16,Weekend getaway ğŸ–ï¸,4822,160,170,106.82
2023-02-17,Desk setup goals,3262,108,190,109.1
2025-04-08,Weekend getaway ğŸ–ï¸,675,126,84,130.92
2024-09-05,Weekend getaway ğŸ–ï¸,2207,61,107,107.56
2024-12-28,Sunset moments ğŸŒ…,4014,196,51,106.13
2024-01-28,Beach day! ğŸï¸,3210,117,181,109.25
2024-04-03,Sunset moments ğŸŒ…,884,97,146,127.34
2022-08-09,Workout complete ğŸ’ª,1638,246,107,121.48
2024-04-11,Sunset moments ğŸŒ…,4862,122,185,106.29
2022-12-18,Cozy night in,758,127,18,118.97
2023-05-09,Cozy night in,3586,147,26,104.8
2025-01-28,New blog post up!,4946,171,64,104.73
2024-02-09,Foodie adventures ğŸ•,3541,244,46,108.16
2025-06-06,Sunset moments ğŸŒ…,1443,136,200,123.2
2022-09-05,Hiking trails â›°ï¸,4715,144,159,106.4
2024-07-18,Behind the scenes,3571,195,66,107.28
2025-04-29,Nature walk ğŸŒ¿,4474,262,33,106.57
2023-05-03,Golden hour vibes âœ¨,1198,88,170,121.43
2025-02-08,Throwback to Paris âœˆï¸,3758,42,108,103.96
2023-12-30,Self-care Sunday,4134,280,74,108.54
2024-12-06,Hiking trails â›°ï¸,394,68,184,163.54
2023-07-21,Hiking trails â›°ï¸,2485,184,38,108.89
2024-03-06,Lazy Sunday morning,3861,90,126,105.57
2022-09-03,Exploring the city!,2457,266,55,113.02
2024-05-22,Chasing waterfalls,1171,162,173,128.5
2025-02-16,Chasing waterfalls,1929,88,105,109.95
2023-05-27,Throwback to Paris âœˆï¸,4718,281,10,106.15
2024-05-22,Desk setup goals,2955,260,14,109.24
2025-02-01,Morning coffee â˜•,3273,167,71,107.24
2025-02-08,Golden hour vibes âœ¨,2273,300,30,114.47
2022-10-17,Weekend getaway ğŸ–ï¸,4281,45,146,104.44
2024-07-12,Nature walk ğŸŒ¿,1351,253,150,129.73
2023-12-13,Throwback to Paris âœˆï¸,2471,280,165,117.96
2023-12-09,Behind the scenes,2035,286,196,123.62
2025-02-06,New blog post up!,2853,214,181,113.81
2025-06-27,Beach day! ğŸï¸,3888,274,125,110.23
2024-11-18,Morning coffee â˜•,2330,125,26,106.44
2022-12-13,Cozy night in,472,293,68,176.11
2024-05-14,Bookworm mode ğŸ“š,2104,13,28,101.9
2025-01-21,Golden hour vibes âœ¨,2175,44,18,102.8
2023-03-01,Cozy night in,880,273,70,138.82
2024-01-15,Sunset moments ğŸŒ…,4276,119,148,106.22
2024-05-22,Nature walk ğŸŒ¿,4977,252,72,106.49
2023-04-12,Foodie adventures ğŸ•,3634,107,34,103.85
2023-05-02,Morning coffee â˜•,3831,191,118,108.04
2024-05-29,Behind the scenes,4125,37,182,105.28
2023-07-15,Morning coffee â˜•,796,216,196,151.57
2024-02-21,Cozy night in,1195,137,59,116.3
2024-08-11,New blog post up!,4693,239,45,106.03
2024-05-10,Behind the scenes,1803,152,128,115.47
2023-11-17,Workout complete ğŸ’ª,917,236,150,141.94
2024-05-09,Morning coffee â˜•,714,286,13,141.68
2023-11-23,Weekend getaway ğŸ–ï¸,2236,95,114,109.3
2024-04-17,Foodie adventures ğŸ•,4243,119,112,105.42
2023-02-11,Golden hour vibes âœ¨,1648,204,10,112.92
2024-12-06,Self-care Sunday,2472,242,83,113.1
2023-11-03,Behind the scenes,4852,259,49,106.33
2023-02-06,New blog post up!,2730,121,24,105.27
2022-12-13,Bookworm mode ğŸ“š,4741,41,90,102.74
2025-07-14,Golden hour vibes âœ¨,710,254,138,154.99
2024-12-23,Chasing waterfalls,1589,39,140,111.19
2024-08-26,Weekend getaway ğŸ–ï¸,1822,45,162,111.3
2025-06-22,Weekend getaway ğŸ–ï¸,2226,216,40,111.45
2023-04-03,Bookworm mode ğŸ“š,2316,30,168,108.5
2024-11-28,Weekend getaway ğŸ–ï¸,3734,299,143,111.81
2023-10-02,Cozy night in,2436,114,181,112.06
2023-12-06,Cozy night in,2255,145,111,111.3
2023-03-06,Nature walk ğŸŒ¿,2757,244,90,112.07
2024-08-07,Weekend getaway ğŸ–ï¸,376,244,169,209.28
2024-11-16,Bookworm mode ğŸ“š,1119,47,147,117.23
2022-12-26,New blog post up!,4444,145,43,104.21
2025-06-19,Beach day! ğŸï¸,863,135,104,127.55
2022-10-14,Lazy Sunday morning,1592,234,149,123.98
2024-06-19,Lazy Sunday morning,4633,14,180,104.16
2023-07-07,Hiking trails â›°ï¸,2752,63,44,103.85
2024-04-23,Sunset moments ğŸŒ…,1245,64,200,121.11
2025-06-10,Hiking trails â›°ï¸,1573,149,82,114.61
2024-09-11,Desk setup goals,2025,185,62,112.14
2023-05-02,Sunset moments ğŸŒ…,4440,260,74,107.5
2023-10-06,Golden hour vibes âœ¨,1056,226,80,128.86
2024-07-17,Golden hour vibes âœ¨,329,180,43,167.27
2024-11-21,Sunset moments ğŸŒ…,1623,236,151,123.77
2025-01-26,Behind the scenes,4894,14,38,101.04
2024-11-13,Weekend getaway ğŸ–ï¸,1521,289,19,120.17
2024-03-25,Beach day! ğŸï¸,4826,85,120,104.23
2024-05-07,Nature walk ğŸŒ¿,642,167,103,141.84
2023-07-18,Golden hour vibes âœ¨,3231,117,184,109.28
2025-02-14,Workout complete ğŸ’ª,1142,191,153,130.01
